變數命名可讀性審查（風格層級）與重複定義/未使用清單

====================
A) Rust — 變數重複定義（shadowing / 命名重疊）
| 檔案 | 行號 | 變數 | 類型 | 建議 |
|---|---:|---|---|---|
| X:\D\MCTEST\mc_translator_rs\src\config\dictionary.rs | 68 → 80 | path | shadowing | 第二個 path 改名為 cleanup_path 或直接重用原變數 |
| X:\D\MCTEST\mc_translator_rs\src\config\dictionary.rs | 88 → 100 | path | shadowing | 第二個 path 改名為 cleanup_path 或直接重用原變數 |
| X:\D\MCTEST\mc_translator_rs\src\file\pack_gen.rs | 191 → 192 | entry | shadowing | for entry in ... 改成 for dir_entry in ... { let entry = dir_entry.unwrap(); } |
| X:\D\MCTEST\mc_translator_rs\src\file\pipeline.rs | 139 → 141 | tasks | shadowing | 改名 jar_tasks（或直接不再重新綁定） |
| X:\D\MCTEST\mc_translator_rs\src\file\pipeline.rs | 139 → 142 | items | shadowing | 改名 jar_items |
| X:\D\MCTEST\mc_translator_rs\src\translation\api\client.rs | 210 → 221 | result | shadowing | 改名 provider_result / cleaned_result |
| X:\D\MCTEST\mc_translator_rs\src\translation\api\client.rs | 391 → 399 | v | shadowing | closure 參數改名 val 或 node |
| X:\D\MCTEST\mc_translator_rs\src\translation\batching.rs | 126 → 189 | already_done | shadowing | 內層改名 batch_already_done |
| X:\D\MCTEST\mc_translator_rs\src\translation\batching.rs | 126 → 262 | already_done | shadowing | 內層改名 batch_already_done |
| X:\D\MCTEST\mc_translator_rs\src\translation\batching.rs | 126 → 313 | already_done | shadowing | 內層改名 batch_already_done |
| X:\D\MCTEST\mc_translator_rs\src\translation\pipeline.rs | 68 → 84 | input_paths | shadowing | 改名 expanded_input_paths 或只保留一個變數 |
| X:\D\MCTEST\mc_translator_rs\src\utils\text_processing.rs | 77 → 80 | v | shadowing | closure 參數改名 val |
| X:\D\MCTEST\mc_translator_rs\src\utils\text_processing.rs | 77 → 88 | v | shadowing | closure 參數改名 val |
| X:\D\MCTEST\mc_translator_rs\src\utils\helpers.rs | 131 → 140 | entries | shadowing | 測試中第二個改名 entries_after_clear |
| X:\D\MCTEST\mc_translator_rs\src\cli\main.rs | 500 → 501 | filled | shadowing | 改名 filled_raw / filled_clamped |

B) JS — 未使用變數
| 檔案 | 行號 | 變數 | 類型 | 建議 |
|---|---:|---|---|---|
| X:\D\MCTEST\mc_translator_rs\tests\frontend\config.test.js | 15 | utilsModule | 未使用 | 移除宣告或補上實際使用 |
| X:\D\MCTEST\mc_translator_rs\tests\frontend\config.test.js | 16 | i18nModule | 未使用 | 同上 |
| X:\D\MCTEST\mc_translator_rs\tests\frontend\config.test.js | 97 | args | 未使用 | 若是測試用參數，改用 _args 或直接移除 |
| X:\D\MCTEST\mc_translator_rs\tests\frontend\dictionary.test.js | 13 | utilsModule | 未使用 | 移除或使用 |

C) Rust/JS 未使用變數（其他）
- Rust cargo check 未報告未使用變數。
- frontend/**/*.js lint 無未使用變數警告。

====================
D) 命名可讀性審查（風格層級）

Rust
| 檔案 | 行號 | 原名稱 | 問題描述 | 建議新名稱 | 影響範圍 |
|---|---:|---|---|---|---|
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 157 | p | 路徑語意不明 | lang_path | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 158 | c | 內容語意不明 | file_content / lang_json_str | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 159 | l_val | 縮寫不直觀 | lang_json | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 160 | d_val | 縮寫不直觀 | default_json | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 162 | l | 來源物件語意不明 | lang_obj | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 162 | d | 目標物件語意不明 | default_obj | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 167 | lb | labels 縮寫不清楚 | labels | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 389 | l | default labels 語意不清 | default_labels | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 398 | n | 檔名語意不清 | file_name | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 398 | c | 內容語意不明 | file_content | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 399 | p | 路徑語意不明 | file_path | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 407 | p | 路徑語意不明 | lang_path | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 408 | c | 內容語意不明 | file_content | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 471 | l | default labels 語意不清 | default_labels | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 480 | n | 檔名語意不清 | file_name | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 480 | c | 內容語意不明 | file_content | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 481 | p | 路徑語意不明 | file_path | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\src\i18n.rs | 489 | p | 路徑語意不明 | lang_path | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\translation\api\client.rs | 293 | sl | 縮寫不直觀 | source_lang_code | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\translation\api\client.rs | 294 | tl | 縮寫不直觀 | target_lang_code | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\translation\api\models.rs | 17 | m | model 物件語意不明 | model / model_obj | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\src\translation\api\models.rs | 98 | m | model 物件語意不明 | model / model_obj | iterator |
| X:\D\MCTEST\mc_translator_rs\src\translation\api\models.rs | 98 | s | id 字串語意不明 | id / model_id | iterator |
| X:\D\MCTEST\mc_translator_rs\src\translation\api\models.rs | 112 | v | 版本物件語意不明 | version / version_obj | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\src\file\js_handler.rs | 61 | s | regex 匹配字串語意不明 | match_str | 迴圈內 |
